                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1129,                 2.1582,                 1.4647,                0.90738,                0.87755,                0.92795,                0.72019,                 0.7673,                 2.4102,                 1.0938,                0.00048,                0.00048,                0.00048
                      2,                 1.1564,                 1.1853,                 1.4243,                0.10622,                 0.2449,                0.09031,                0.04005,                 2.0409,                 12.115,                 2.4904,              0.0009606,              0.0009606,              0.0009606
                      3,                 1.2205,                 1.0217,                 1.4251,                0.80952,                0.34694,                0.63065,                 0.3102,                 1.5003,                 8.1342,                 2.4602,              0.0014214,              0.0014214,              0.0014214
                      4,                 1.2409,                0.95217,                 1.4309,                0.48529,                0.67347,                0.45563,                0.25982,                 1.0933,                 7.6742,                 1.9186,              0.0018624,              0.0018624,              0.0018624
                      5,                 1.2039,                0.89228,                 1.4232,                0.01024,                0.08163,                0.00511,                0.00229,                 2.7823,                 6.2069,                 3.9154,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.2069,                0.93147,                 1.4214,                0.38851,                0.67347,                0.50289,                0.27404,                 1.4569,                 2.0426,                 2.0078,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.2268,                0.87949,                 1.4304,                0.72029,                0.57143,                0.66633,                0.34131,                 1.6316,                  1.553,                 1.8023,               0.001802,               0.001802,               0.001802
                      8,                 1.2244,                0.85019,                 1.3996,                0.90088,                0.97959,                0.97402,                0.75235,                 0.8527,                  1.019,                 1.1869,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.1062,                0.80847,                 1.3328,                0.82321,                0.93878,                0.93637,                0.78087,                 0.7563,                 1.2091,                 1.0981,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.0817,                0.72473,                 1.2947,                0.52275,                0.73469,                0.55311,                0.26503,                  2.011,                 2.4698,                 2.5288,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.0388,                0.70315,                 1.2995,                0.98229,                0.95918,                0.98789,                0.81848,                0.66896,                0.58682,                 1.0657,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.0486,                0.72601,                  1.313,                0.92801,                0.95918,                0.96349,                0.86277,                0.56735,                0.55116,                0.94505,               0.001604,               0.001604,               0.001604
                     13,                 1.0668,                0.69115,                 1.2956,                0.46081,                0.18367,                0.18083,                0.14167,                 2.0459,                 4.0636,                 2.7222,              0.0015644,              0.0015644,              0.0015644
                     14,                  1.023,                0.68161,                 1.2779,                  0.958,                      1,                0.99381,                0.89727,                0.55447,                0.64984,                0.94495,              0.0015248,              0.0015248,              0.0015248
                     15,                0.96473,                  0.631,                 1.2444,                0.98654,                      1,                  0.995,                0.89372,                0.52954,                0.48321,                0.94076,              0.0014852,              0.0014852,              0.0014852
                     16,                 0.9584,                0.63712,                 1.2339,                0.99412,                      1,                  0.995,                0.89848,                0.47395,                0.44449,                0.89129,              0.0014456,              0.0014456,              0.0014456
                     17,                0.92159,                0.60095,                 1.2065,                0.99662,                      1,                  0.995,                0.88522,                0.47676,                0.38213,                0.91498,               0.001406,               0.001406,               0.001406
                     18,                0.91542,                0.60556,                 1.1901,                0.99763,                      1,                  0.995,                0.91074,                0.42803,                0.37068,                0.88052,              0.0013664,              0.0013664,              0.0013664
                     19,                0.90285,                0.57307,                 1.2124,                0.99775,                      1,                  0.995,                0.90299,                0.48112,                0.37028,                0.90196,              0.0013268,              0.0013268,              0.0013268
                     20,                0.88472,                  0.571,                 1.1895,                0.99879,                      1,                  0.995,                0.93621,                0.39841,                0.33201,                0.85261,              0.0012872,              0.0012872,              0.0012872
                     21,                0.92367,                0.59667,                 1.2303,                0.97831,                      1,                 0.9946,                0.88702,                0.48201,                0.35089,                0.90395,              0.0012476,              0.0012476,              0.0012476
                     22,                0.84718,                0.57011,                 1.1523,                 0.9983,                      1,                  0.995,                0.91614,                0.43315,                0.33326,                0.87605,               0.001208,               0.001208,               0.001208
                     23,                0.85069,                0.54781,                  1.166,                0.99863,                      1,                  0.995,                0.90765,                0.44177,                0.32941,                 0.8673,              0.0011684,              0.0011684,              0.0011684
                     24,                0.88094,                0.55014,                 1.1807,                 0.9963,                      1,                  0.995,                0.91876,                0.41251,                0.35888,                0.86895,              0.0011288,              0.0011288,              0.0011288
                     25,                0.86589,                0.54682,                 1.1653,                0.99877,                      1,                  0.995,                0.92131,                0.40111,                0.30975,                0.86137,              0.0010892,              0.0010892,              0.0010892
                     26,                 0.8124,                0.51162,                 1.1359,                0.99752,                      1,                  0.995,                0.93135,                 0.4045,                0.30835,                 0.8574,              0.0010496,              0.0010496,              0.0010496
                     27,                0.82199,                0.50902,                 1.1487,                0.99757,                      1,                  0.995,                0.93664,                0.39291,                0.28311,                0.84869,                0.00101,                0.00101,                0.00101
                     28,                0.81108,                  0.506,                 1.1461,                0.97774,                      1,                  0.995,                0.93121,                0.38186,                0.30737,                0.85891,              0.0009704,              0.0009704,              0.0009704
                     29,                0.80651,                0.48047,                 1.1424,                0.99139,                      1,                  0.995,                0.92692,                0.38423,                0.29078,                0.85352,              0.0009308,              0.0009308,              0.0009308
                     30,                 0.7736,                0.47287,                 1.1146,                 0.9983,                      1,                  0.995,                0.93586,                0.36789,                0.26275,                 0.8545,              0.0008912,              0.0008912,              0.0008912
                     31,                0.75971,                0.48336,                 1.1232,                0.99859,                      1,                  0.995,                0.95078,                0.33332,                0.26034,                0.83095,              0.0008516,              0.0008516,              0.0008516
                     32,                0.75264,                0.48237,                 1.1033,                 0.9988,                      1,                  0.995,                0.94054,                 0.3112,                0.26729,                0.82201,               0.000812,               0.000812,               0.000812
                     33,                0.72288,                0.43976,                 1.0795,                0.99876,                      1,                  0.995,                0.95736,                0.32622,                0.25946,                0.82818,              0.0007724,              0.0007724,              0.0007724
                     34,                0.73336,                0.45836,                 1.1038,                0.99887,                      1,                  0.995,                0.91112,                0.37525,                0.24788,                0.86762,              0.0007328,              0.0007328,              0.0007328
                     35,                0.69555,                0.43098,                 1.0895,                0.99883,                      1,                  0.995,                0.96276,                0.31954,                0.22925,                0.81806,              0.0006932,              0.0006932,              0.0006932
                     36,                0.70686,                0.43334,                 1.0862,                0.99887,                      1,                  0.995,                0.93675,                0.37887,                0.24546,                0.85783,              0.0006536,              0.0006536,              0.0006536
