                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.69128,                0.43603,                 1.0889,                0.99882,                      1,                  0.995,                0.93565,                0.32766,                 0.2259,                0.85278,               0.000614,               0.000614,               0.000614
                     38,                0.68214,                0.41467,                  1.064,                0.99874,                      1,                  0.995,                0.94016,                0.35182,                0.23307,                0.85093,              0.0005744,              0.0005744,              0.0005744
                     39,                0.71248,                0.42618,                 1.1029,                0.99881,                      1,                  0.995,                0.95958,                0.33529,                0.22718,                0.83502,              0.0005348,              0.0005348,              0.0005348
                     40,                0.68301,                0.39822,                 1.0764,                0.99884,                      1,                  0.995,                0.95058,                0.36078,                0.23596,                0.83272,              0.0004952,              0.0004952,              0.0004952
                     41,                0.58797,                 0.3477,                 1.0104,                0.99879,                      1,                  0.995,                0.96037,                0.30465,                0.23445,                0.81807,              0.0004556,              0.0004556,              0.0004556
                     42,                0.57771,                0.32158,                 1.0107,                0.99884,                      1,                  0.995,                0.92171,                0.38421,                0.22823,                0.84896,               0.000416,               0.000416,               0.000416
                     43,                0.54589,                0.31605,                 0.9941,                0.99882,                      1,                  0.995,                0.93597,                0.35624,                0.23102,                0.84148,              0.0003764,              0.0003764,              0.0003764
                     44,                0.55638,                0.31607,                 1.0163,                0.99883,                      1,                  0.995,                0.94972,                0.33331,                0.22835,                0.82191,              0.0003368,              0.0003368,              0.0003368
                     45,                0.54856,                0.30423,                 1.0184,                0.99884,                      1,                  0.995,                0.96284,                0.29902,                0.21987,                0.81387,              0.0002972,              0.0002972,              0.0002972
                     46,                0.52488,                0.30713,                0.99702,                0.99888,                      1,                  0.995,                 0.9551,                0.31223,                0.21172,                0.82496,              0.0002576,              0.0002576,              0.0002576
                     47,                0.51633,                0.29609,                0.97082,                0.99882,                      1,                  0.995,                0.96394,                0.31041,                0.19894,                 0.8191,               0.000218,               0.000218,               0.000218
                     48,                0.51033,                0.29233,                 0.9711,                0.99882,                      1,                  0.995,                0.96348,                0.29382,                0.19427,                0.82286,              0.0001784,              0.0001784,              0.0001784
                     49,                0.48275,                0.27304,                0.93896,                0.99886,                      1,                  0.995,                0.96669,                0.29935,                0.19125,                0.83015,              0.0001388,              0.0001388,              0.0001388
                     50,                0.46617,                0.27111,                0.94653,                0.99887,                      1,                  0.995,                0.96431,                0.28932,                0.18802,                0.82882,               9.92e-05,               9.92e-05,               9.92e-05
