                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.91572,                0.57803,                 1.2338,                0.99051,                      1,                  0.995,                0.90668,                0.48437,                0.38163,                0.94213,              0.0010496,              0.0010496,              0.0010496
                     27,                0.90176,                0.59441,                 1.2202,                0.99788,                      1,                  0.995,                0.92404,                0.43532,                0.35364,                 0.9013,                0.00101,                0.00101,                0.00101
                     28,                0.88215,                0.57833,                 1.2227,                0.99861,                      1,                  0.995,                0.91025,                0.45542,                 0.3633,                0.96205,              0.0009704,              0.0009704,              0.0009704
                     29,                0.86558,                0.55997,                 1.2321,                0.99866,                      1,                  0.995,                0.91158,                0.49328,                0.37477,                0.94431,              0.0009308,              0.0009308,              0.0009308
                     30,                0.87274,                 0.5683,                 1.2108,                0.99829,                      1,                  0.995,                0.88393,                  0.497,                0.36983,                 0.9404,              0.0008912,              0.0008912,              0.0008912
                     31,                0.82342,                0.54316,                 1.1775,                0.99858,                      1,                  0.995,                0.89889,                0.43635,                0.35308,                 0.9091,              0.0008516,              0.0008516,              0.0008516
                     32,                0.81579,                0.51934,                 1.1837,                0.99701,                      1,                  0.995,                0.90362,                 0.4303,                0.32859,                0.92048,               0.000812,               0.000812,               0.000812
                     33,                0.78298,                0.51252,                 1.1527,                0.99881,                      1,                  0.995,                0.92377,                0.39904,                0.30577,                0.87337,              0.0007724,              0.0007724,              0.0007724
                     34,                0.82407,                0.51495,                 1.1931,                0.99882,                      1,                  0.995,                0.93091,                0.40633,                 0.3257,                0.90216,              0.0007328,              0.0007328,              0.0007328
                     35,                0.76597,                 0.5048,                  1.148,                0.99761,                      1,                  0.995,                 0.9415,                0.36825,                0.28782,                0.86822,              0.0006932,              0.0006932,              0.0006932
                     36,                0.79382,                0.51397,                 1.1583,                0.99869,                      1,                  0.995,                0.93601,                 0.3794,                0.30128,                0.87506,              0.0006536,              0.0006536,              0.0006536
                     37,                0.77092,                 0.5253,                 1.1498,                0.99852,                      1,                  0.995,                0.92483,                0.41364,                0.30604,                0.87961,               0.000614,               0.000614,               0.000614
                     38,                0.74459,                 0.4805,                 1.1413,                0.99831,                      1,                  0.995,                0.95245,                0.34482,                0.27685,                 0.8539,              0.0005744,              0.0005744,              0.0005744
                     39,                0.70718,                0.46428,                 1.1372,                 0.9986,                      1,                  0.995,                0.94274,                0.33672,                0.28693,                 0.8529,              0.0005348,              0.0005348,              0.0005348
                     40,                0.72132,                0.46434,                 1.1406,                0.99857,                      1,                  0.995,                0.93698,                0.36532,                0.27881,                0.87093,              0.0004952,              0.0004952,              0.0004952
                     41,                0.60879,                0.39251,                 1.0692,                0.99821,                      1,                  0.995,                0.93836,                0.35057,                0.29965,                0.86682,              0.0004556,              0.0004556,              0.0004556
                     42,                0.61132,                0.36127,                 1.0682,                0.99781,                      1,                  0.995,                 0.9411,                0.37488,                0.28779,                0.87809,               0.000416,               0.000416,               0.000416
                     43,                0.60021,                0.35779,                 1.0651,                 0.9986,                      1,                  0.995,                0.94462,                0.37478,                0.28339,                0.86483,              0.0003764,              0.0003764,              0.0003764
                     44,                0.59433,                0.34561,                 1.1055,                 0.9988,                      1,                  0.995,                0.95658,                0.34583,                0.25242,                0.86509,              0.0003368,              0.0003368,              0.0003368
                     45,                0.53008,                0.33423,                 1.0279,                 0.9988,                      1,                  0.995,                0.97177,                0.29275,                 0.2407,                0.83526,              0.0002972,              0.0002972,              0.0002972
                     46,                 0.5035,                0.32206,                 1.0264,                0.99881,                      1,                  0.995,                0.97996,                0.27045,                0.22678,                0.82713,              0.0002576,              0.0002576,              0.0002576
                     47,                0.50465,                0.30729,                 1.0112,                0.99885,                      1,                  0.995,                0.96346,                0.28856,                0.22657,                0.83965,               0.000218,               0.000218,               0.000218
                     48,                 0.5179,                0.30953,                 1.0223,                0.99885,                      1,                  0.995,                0.97842,                0.27191,                0.22237,                0.82544,              0.0001784,              0.0001784,              0.0001784
                     49,                0.47654,                0.29646,                0.98605,                0.99885,                      1,                  0.995,                 0.9672,                0.26499,                0.21382,                 0.8247,              0.0001388,              0.0001388,              0.0001388
                     50,                0.45385,                0.29418,                0.98196,                0.99884,                      1,                  0.995,                0.98236,                0.26249,                0.21218,                0.82179,               9.92e-05,               9.92e-05,               9.92e-05
