                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1798,                 2.3725,                 1.5641,                0.81986,                0.79592,                0.79355,                 0.4169,                  1.387,                 8.2148,                 1.6859,                0.00048,                0.00048,                0.00048
                      2,                  1.274,                 1.3212,                 1.5309,                0.39541,                0.44898,                0.29664,                0.15548,                 1.6284,                  4.661,                 2.2995,              0.0009606,              0.0009606,              0.0009606
                      3,                 1.3704,                 1.1765,                 1.5698,                0.46154,                0.12245,                0.12724,                0.03425,                 2.1919,                 22.037,                 2.5767,              0.0014214,              0.0014214,              0.0014214
                      4,                 1.3444,                 1.0885,                 1.5759,                0.00822,                0.02041,                0.00135,                0.00047,                 3.8708,                 60.371,                 6.7194,              0.0018624,              0.0018624,              0.0018624
                      5,                 1.3306,                 0.9987,                  1.537,                0.04605,                0.02041,                0.01223,                0.00424,                  2.488,                  3.884,                 2.7858,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.2945,                0.95761,                 1.4945,                0.12824,                0.08163,                0.05734,                0.01124,                 3.4205,                 5.0531,                 3.3761,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.2282,                0.91757,                 1.4881,                0.61319,                0.63265,                0.70094,                0.32208,                 1.5154,                 2.8391,                 1.9521,               0.001802,               0.001802,               0.001802
                      8,                 1.1942,                 0.9086,                 1.4557,                0.62782,                0.67347,                0.72879,                0.46148,                 1.4156,                 2.5954,                 1.9434,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.2713,                 0.9257,                 1.5164,                 0.3092,                0.38776,                0.25288,                0.07046,                 2.4509,                 3.7074,                 3.2965,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.1794,                0.85547,                 1.4182,                0.86599,                0.95918,                0.97557,                0.76888,                0.73353,                 1.3483,                 1.1202,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.1147,                0.77665,                 1.3839,                0.90969,                0.82242,                0.86835,                0.75993,                0.70444,                 1.5173,                 1.1597,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.1102,                0.79051,                 1.3959,                0.99685,                0.95918,                0.97759,                 0.8227,                0.70381,                0.61343,                 1.0771,               0.001604,               0.001604,               0.001604
                     13,                 1.0692,                0.74442,                 1.3416,                0.89453,                0.69388,                0.77835,                0.63028,                 1.1296,                 1.8903,                 1.5007,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.1044,                0.74646,                 1.3556,                0.96657,                      1,                 0.9906,                0.86714,                0.56123,                0.46948,                0.98568,              0.0015248,              0.0015248,              0.0015248
                     15,                  1.064,                0.72364,                 1.3302,                0.99468,                      1,                  0.995,                0.86605,                0.51837,                0.48667,                0.99614,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.1718,                0.78179,                 1.3967,                0.95884,                      1,                0.98969,                 0.8419,                 0.6695,                 0.6422,                 1.1101,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.0005,                0.67994,                 1.3187,                0.99628,                      1,                  0.995,                0.90321,                0.54034,                0.43737,                 0.9792,               0.001406,               0.001406,               0.001406
                     18,                 1.0209,                0.65547,                 1.3007,                0.99689,                0.97959,                0.98807,                 0.8157,                0.73671,                0.52495,                 1.1844,              0.0013664,              0.0013664,              0.0013664
                     19,                 0.9569,                0.63183,                 1.2758,                      1,                0.99466,                  0.995,                0.86281,                0.60322,                0.45848,                0.99419,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.0087,                0.66393,                 1.2989,                0.99275,                      1,                  0.995,                0.87606,                0.51911,                0.51248,                0.97401,              0.0012872,              0.0012872,              0.0012872
                     21,                0.97886,                0.68329,                 1.2791,                0.99256,                      1,                  0.995,                0.90518,                0.50539,                0.45599,                0.95204,              0.0012476,              0.0012476,              0.0012476
                     22,                0.97539,                0.64196,                 1.2402,                 0.9968,                      1,                  0.995,                0.90949,                0.47762,                0.41385,                 0.9366,               0.001208,               0.001208,               0.001208
                     23,                0.90976,                0.61002,                 1.2432,                0.99855,                      1,                  0.995,                 0.9046,                0.45314,                0.36176,                0.93417,              0.0011684,              0.0011684,              0.0011684
                     24,                0.94433,                 0.6221,                 1.2573,                0.99845,                      1,                  0.995,                0.90992,                0.43832,                0.33764,                0.90886,              0.0011288,              0.0011288,              0.0011288
                     25,                0.92339,                0.60373,                 1.2339,                0.99534,                      1,                  0.995,                0.88972,                0.48956,                0.39943,                0.93476,              0.0010892,              0.0010892,              0.0010892
